Typ;cislo;nazev;jizdni rad
Os;3811;;Olomouc hl.n. 4.19 Pøerov 4.40
Os;3812;;Nezamyslice 5.23 Pøerov 6.00-6.03 Olomouc hl.n. 6.25
Os;3813;;Olomouc hl.n. 5.33 Pøerov 5.54-5.57 Nezamyslice 6.32
Os;3815;;Olomouc hl.n. 6.33 Pøerov 6.54-6.57 Nezamyslice 7.32
Os;3816;;Nezamyslice 7.06 Pøerov 7.36-7.38 Olomouc hl.n. 8.04
Os;3817;;Olomouc hl.n. 8.33 Pøerov 8.54-8.57 Nezamyslice 9.29
Os;3818;;Nezamyslice 8.28 Pøerov 9.00-9.03 Olomouc hl.n. 9.25
Os;3819;;Olomouc hl.n. 10.33 Pøerov 10.54-10.57 Nezamyslice 11.29
Os;3820;;Nezamyslice 10.23 Pøerov 11.00-11.03 Olomouc hl.n. 11.25
Os;3821;;Olomouc hl.n. 12.33 Pøerov 12.54-12.57 Nezamyslice 13.32
Os;3822;;Nezamyslice 12.23 Pøerov 13.00-13.03 Olomouc hl.n. 13.25
Os;3823;;Olomouc hl.n. 13.33 Pøerov 13.54-13.57 Nezamyslice 14.33
Os;3825;;Olomouc hl.n. 14.33 Pøerov 14.54-14.57 Nezamyslice 15.33
Os;3826;;Nezamyslice 14.23 Pøerov 15.00-15.03 Olomouc hl.n. 15.25
Os;3827;;Olomouc hl.n. 15.33 Pøerov 15.54-15.57 Nezamyslice 16.33
Os;3828;;Nezamyslice 15.23 Pøerov 16.00-16.03 Olomouc hl.n. 16.25
Os;3831;;Olomouc hl.n. 16.33 Pøerov 16.54-16.57 Nezamyslice 17.33
Os;3832;;Nezamyslice 16.23 Pøerov 17.00-17.03 Olomouc hl.n. 17.25
Os;3833;;Olomouc hl.n. 17.33 Pøerov 17.54-17.57 Nezamyslice 18.33
Os;3834;;Nezamyslice 17.23 Pøerov 18.00-18.03 Olomouc hl.n. 18.25
Os;3835;;Olomouc hl.n. 18.33 Pøerov 18.54-18.57 Nezamyslice 19.33
Os;3836;;Nezamyslice 18.23 Pøerov 19.00-19.03 Olomouc hl.n. 19.25
Os;3838;;Nezamyslice 20.28 Pøerov 20.56-21.03 Olomouc hl.n. 21.25
Os;3840;;Pøerov 4.30 Olomouc hl.n. 4.51
Os;3842;;Pøerov 5.03 Olomouc hl.n. 5.25
Os;3843;;Olomouc hl.n. 7.33 Pøerov 7.54
Os;3844;;Pøerov 8.03 Olomouc hl.n. 8.25
Os;3845;;Olomouc hl.n. 9.33 Pøerov 9.54
Os;3846;;Pøerov 10.03 Olomouc hl.n. 10.25
Os;3847;;Olomouc hl.n. 11.33 Pøerov 11.54
Os;3848;;Pøerov 12.03 Olomouc hl.n. 12.25
Os;3860;;Nezamyslice 6.28 Pøerov 7.00
Os;3861;;Olomouc hl.n. 19.33 Pøerov 19.54
Os;3862;;Pøerov 14.03 Olomouc hl.n. 14.25
Os;3863;;Olomouc hl.n. 20.33 Pøerov 20.54
Os;3865;;Olomouc hl.n. 21.33 Pøerov 21.54
Os;3867;;Olomouc hl.n. 22.37 Pøerov 22.58
Os;3868;;Pøerov 20.03 Olomouc hl.n. 20.25
Os;3869;;Olomouc hl.n. 23.08 Pøerov 23.29
Os;3870;;Pøerov 22.33 Olomouc hl.n. 22.54
Os;12700;; Lanškroun 4.30 Rudoltice v Èechách 4.35-4.36, Tøebovice v Èechách 4.42-4.42, Èeská Tøebová 4.48
Os;12701;;Èeská Tøebová 4.09 Tøebovice v Èechách 4.14-4.14, Rudoltice v Èechách 4.19-4.20, Lanškroun 4.26
Os;12702;;Lanškroun 5.11 Rudoltice v Èechách 5.16-5.18, Tøebovice v Èechách 5.24-5.24, Èeská Tøebová 5.30
Os;12703;;Èeská Tøebová 4.48 Tøebovice v Èechách 4.53-4.53, Rudoltice v Èechách 4.59-5.00, Lanškroun 5.06
Os;12704;;Lanškroun 5.30 Rudoltice v Èechách 5.35-5.36, Tøebovice v Èechách 5.42-5.46, Èeská Tøebová 5.52
Os;12705;;Èeská Tøebová 5.07 Tøebovice v Èechách 5.12-5.12, Rudoltice v Èechách 5.18-5.19, Lanškroun 5.25
Os;12706;;Lanškroun 6.14 Rudoltice v Èechách 6.19-6.20, Èeská Tøebová 6.32
Os;12707;;Tøebovice v Èechách 5.54 Rudoltice v Èechách 6.00-6.01, Lanškroun 6.07
Os;12708;;Lanškroun 6.37 Rudoltice v Èechách 6.42-6.43, Tøebovice v Èechách 6.49-6.49, Èeská Tøebová 6.55
